gene_id,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
Montipora_capitata_HIv3___RNAseq.g39262.t1,7897.ENSLACP00000000041,8.079999999999999e-42,143,"KOG0800@1|root,KOG0800@2759|Eukaryota,3A56Z@33154|Opisthokonta,3BPM3@33208|Metazoa,3D6SB@33213|Bilateria,489TV@7711|Chordata,48WHZ@7742|Vertebrata",33208|Metazoa,O,E3 ubiquitin-protein ligase RNF181,RNF181,"GO:0000209,GO:0003674,GO:0003824,GO:0004842,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006464,GO:0006508,GO:0006511,GO:0006807,GO:0008150,GO:0008152,GO:0008270,GO:0009056,GO:0009057,GO:0009987,GO:0010498,GO:0016567,GO:0016740,GO:0019538,GO:0019787,GO:0019941,GO:0030163,GO:0032446,GO:0036211,GO:0043161,GO:0043167,GO:0043169,GO:0043170,GO:0043412,GO:0043632,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044424,GO:0044464,GO:0046872,GO:0046914,GO:0051603,GO:0051865,GO:0061630,GO:0061659,GO:0070647,GO:0071704,GO:0140096,GO:1901564,GO:1901565,GO:1901575",2.3.2.27,ko:K22378,-,-,-,-,"ko00000,ko01000,ko04121",-,-,-,zf-RING_2
Montipora_capitata_HIv3___RNAseq.g18178.t1,45351.EDO42546,1.14e-86,276,"KOG2813@1|root,KOG2813@2759|Eukaryota,38B75@33154|Opisthokonta,3BBXS@33208|Metazoa",33208|Metazoa,O,Protein SSUH2 homolog,-,-,-,-,-,-,-,-,-,-,-,-,-
Montipora_capitata_HIv3___RNAseq.g35580.t1,45351.EDO40934,7.19e-113,338,"KOG0527@1|root,KOG0527@2759|Eukaryota,3931A@33154|Opisthokonta,3B9QG@33208|Metazoa",33208|Metazoa,K,pineal gland development,-,"GO:0000902,GO:0000904,GO:0000981,GO:0002164,GO:0002165,GO:0002168,GO:0003002,GO:0003674,GO:0003676,GO:0003677,GO:0003682,GO:0003700,GO:0003705,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006355,GO:0006357,GO:0006928,GO:0006935,GO:0007275,GO:0007350,GO:0007365,GO:0007367,GO:0007389,GO:0007399,GO:0007409,GO:0007411,GO:0007417,GO:0007591,GO:0008150,GO:0008363,GO:0009605,GO:0009653,GO:0009790,GO:0009791,GO:0009880,GO:0009889,GO:0009891,GO:0009893,GO:0009966,GO:0009968,GO:0009987,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0010646,GO:0010648,GO:0016043,GO:0019219,GO:0019222,GO:0022008,GO:0023051,GO:0023057,GO:0030030,GO:0030111,GO:0030154,GO:0030178,GO:0030182,GO:0031175,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031490,GO:0032501,GO:0032502,GO:0032989,GO:0032990,GO:0035017,GO:0035282,GO:0035293,GO:0040003,GO:0040011,GO:0042221,GO:0042303,GO:0042330,GO:0042335,GO:0042337,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464,GO:0045893,GO:0045935,GO:0045944,GO:0048468,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048585,GO:0048666,GO:0048667,GO:0048699,GO:0048731,GO:0048812,GO:0048856,GO:0048858,GO:0048869,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0060255,GO:0060828,GO:0061564,GO:0065007,GO:0071840,GO:0080090,GO:0090090,GO:0097159,GO:0097485,GO:0120036,GO:0120039,GO:0140110,GO:1901363,GO:1902680,GO:1903506,GO:1903508,GO:2000112,GO:2001141",-,"ko:K09267,ko:K16796","ko04390,ko04550,map04390,map04550",-,-,-,"ko00000,ko00001,ko03000",-,-,-,"HMG_box,SOXp"
Montipora_capitata_HIv3___RNAseq.g5198.t1,45351.EDO32632,1.3699999999999999e-257,729,"COG0514@1|root,KOG0353@2759|Eukaryota,39KMJ@33154|Opisthokonta,3CNVK@33208|Metazoa",33208|Metazoa,L,Belongs to the helicase family. RecQ subfamily,RECQL,"GO:0000724,GO:0000725,GO:0000733,GO:0003674,GO:0003676,GO:0003677,GO:0003678,GO:0003824,GO:0004003,GO:0004386,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005694,GO:0005737,GO:0006139,GO:0006259,GO:0006281,GO:0006302,GO:0006310,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0008026,GO:0008094,GO:0008150,GO:0008152,GO:0009378,GO:0009987,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0031974,GO:0031981,GO:0032392,GO:0032508,GO:0033554,GO:0034641,GO:0036310,GO:0042623,GO:0043138,GO:0043140,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044237,GO:0044238,GO:0044260,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0046483,GO:0050896,GO:0051276,GO:0051716,GO:0070013,GO:0070035,GO:0071103,GO:0071704,GO:0071840,GO:0090304,GO:0097159,GO:0097617,GO:0140097,GO:1901360,GO:1901363",3.6.4.12,ko:K10899,-,-,-,-,"ko00000,ko01000,ko03400",-,-,-,"DEAD,Helicase_C,RQC,RecQ_Zn_bind"
Montipora_capitata_HIv3___RNAseq.g6962.t1,4792.ETI35685,9.07e-50,187,"COG0847@1|root,KOG2248@2759|Eukaryota,3QC4J@4776|Peronosporales",4776|Peronosporales,L,EXOIII,-,-,-,ko:K14570,"ko03008,map03008",-,-,-,"ko00000,ko00001,ko01000,ko03009",-,-,-,RNase_T
Montipora_capitata_HIv3___RNAseq.g8767.t1,10224.XP_002738759.1,6.03e-120,363,"COG0631@1|root,KOG0698@2759|Eukaryota,38W4U@33154|Opisthokonta,3BHSU@33208|Metazoa,3CSV3@33213|Bilateria",33208|Metazoa,T,protein serine/threonine phosphatase activity,PPM1D,"GO:0000086,GO:0000278,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0004721,GO:0004722,GO:0004724,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006304,GO:0006305,GO:0006306,GO:0006325,GO:0006342,GO:0006351,GO:0006352,GO:0006355,GO:0006366,GO:0006367,GO:0006464,GO:0006468,GO:0006470,GO:0006725,GO:0006793,GO:0006796,GO:0006807,GO:0006996,GO:0007049,GO:0008150,GO:0008152,GO:0008285,GO:0009058,GO:0009059,GO:0009314,GO:0009605,GO:0009607,GO:0009617,GO:0009628,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0016043,GO:0016070,GO:0016301,GO:0016310,GO:0016311,GO:0016458,GO:0016740,GO:0016772,GO:0016773,GO:0016787,GO:0016788,GO:0016791,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0019538,GO:0019899,GO:0019900,GO:0019901,GO:0022402,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031974,GO:0031981,GO:0032259,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0035970,GO:0036211,GO:0040029,GO:0042127,GO:0042578,GO:0043170,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043412,GO:0043414,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0044728,GO:0044770,GO:0044772,GO:0044839,GO:0045814,GO:0045892,GO:0045934,GO:0046483,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0050896,GO:0051019,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0051276,GO:0051704,GO:0051707,GO:0060255,GO:0065007,GO:0070013,GO:0071704,GO:0071840,GO:0080090,GO:0090304,GO:0097659,GO:0140096,GO:1901360,GO:1901362,GO:1901564,GO:1901576,GO:1902679,GO:1903047,GO:1903506,GO:1903507,GO:2000112,GO:2000113,GO:2001141",3.1.3.16,ko:K10147,"ko04115,map04115",-,-,-,"ko00000,ko00001,ko01000,ko01009",-,-,-,PP2C
Montipora_capitata_HIv3___RNAseq.g11410.t1,45351.EDO39859,5.01e-59,192,"KOG3065@1|root,KOG3065@2759|Eukaryota,39T4K@33154|Opisthokonta,3BJFV@33208|Metazoa",33208|Metazoa,U,Synaptosomal-associated protein,SNAP29,"GO:0000003,GO:0000139,GO:0000149,GO:0000323,GO:0001505,GO:0001775,GO:0002252,GO:0002263,GO:0002274,GO:0002275,GO:0002283,GO:0002366,GO:0002376,GO:0002443,GO:0002444,GO:0002446,GO:0003674,GO:0005484,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005764,GO:0005765,GO:0005766,GO:0005768,GO:0005773,GO:0005774,GO:0005776,GO:0005794,GO:0005813,GO:0005815,GO:0005829,GO:0005856,GO:0005886,GO:0005929,GO:0006810,GO:0006836,GO:0006886,GO:0006887,GO:0006903,GO:0006906,GO:0006914,GO:0006955,GO:0006996,GO:0007030,GO:0007154,GO:0007267,GO:0007268,GO:0007269,GO:0007276,GO:0007292,GO:0008104,GO:0008150,GO:0008152,GO:0009056,GO:0009987,GO:0010256,GO:0012505,GO:0012506,GO:0015031,GO:0015630,GO:0015833,GO:0016020,GO:0016043,GO:0016050,GO:0016079,GO:0016082,GO:0016192,GO:0016236,GO:0016240,GO:0016324,GO:0017156,GO:0019905,GO:0019953,GO:0020016,GO:0020018,GO:0022406,GO:0022411,GO:0022414,GO:0022607,GO:0023052,GO:0023061,GO:0030030,GO:0030031,GO:0030100,GO:0030141,GO:0030424,GO:0030659,GO:0030667,GO:0030728,GO:0031090,GO:0031201,GO:0031253,GO:0031410,GO:0031629,GO:0031974,GO:0031981,GO:0031982,GO:0031984,GO:0032501,GO:0032504,GO:0032879,GO:0032940,GO:0032984,GO:0032991,GO:0033036,GO:0033267,GO:0034613,GO:0034622,GO:0035577,GO:0036230,GO:0042119,GO:0042582,GO:0042886,GO:0042995,GO:0043005,GO:0043195,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043299,GO:0043312,GO:0043679,GO:0043933,GO:0044085,GO:0044237,GO:0044248,GO:0044306,GO:0044422,GO:0044424,GO:0044425,GO:0044428,GO:0044430,GO:0044431,GO:0044433,GO:0044437,GO:0044441,GO:0044444,GO:0044446,GO:0044456,GO:0044459,GO:0044463,GO:0044464,GO:0044703,GO:0044782,GO:0045026,GO:0045055,GO:0045177,GO:0045184,GO:0045202,GO:0045321,GO:0046903,GO:0046907,GO:0048284,GO:0048489,GO:0048519,GO:0048523,GO:0048609,GO:0050789,GO:0050794,GO:0050896,GO:0051046,GO:0051048,GO:0051049,GO:0051051,GO:0051128,GO:0051179,GO:0051234,GO:0051640,GO:0051641,GO:0051648,GO:0051649,GO:0051650,GO:0051656,GO:0051704,GO:0055037,GO:0055085,GO:0060170,GO:0060271,GO:0060627,GO:0061024,GO:0061025,GO:0061919,GO:0065002,GO:0065003,GO:0065007,GO:0065008,GO:0070013,GO:0070727,GO:0070925,GO:0071702,GO:0071705,GO:0071806,GO:0071840,GO:0071944,GO:0090174,GO:0097352,GO:0097458,GO:0097479,GO:0097480,GO:0097708,GO:0098588,GO:0098590,GO:0098791,GO:0098793,GO:0098796,GO:0098805,GO:0098852,GO:0098916,GO:0099003,GO:0099500,GO:0099503,GO:0099504,GO:0099536,GO:0099537,GO:0099643,GO:0120025,GO:0120031,GO:0120036,GO:0120038,GO:0140029,GO:0140056,GO:0150034,GO:1903530,GO:1903531",-,ko:K08509,"ko04130,ko04140,map04130,map04140",-,-,-,"ko00000,ko00001,ko04131",-,-,-,V-SNARE_C
Montipora_capitata_HIv3___RNAseq.g11828.t1,10224.NP_001158501.1,5.48e-50,175,"KOG0527@1|root,KOG0527@2759|Eukaryota,39S2N@33154|Opisthokonta,3BBKG@33208|Metazoa,3CRS9@33213|Bilateria",33208|Metazoa,K,positive regulation of N-terminal peptidyl-lysine acetylation,SOX4,"GO:0000075,GO:0000077,GO:0000278,GO:0000976,GO:0000977,GO:0000978,GO:0000981,GO:0000982,GO:0000987,GO:0001012,GO:0001046,GO:0001047,GO:0001067,GO:0001077,GO:0001228,GO:0001501,GO:0001568,GO:0001655,GO:0001666,GO:0001678,GO:0001775,GO:0001822,GO:0001838,GO:0001841,GO:0001944,GO:0002009,GO:0002065,GO:0002244,GO:0002320,GO:0002328,GO:0002376,GO:0002520,GO:0002521,GO:0002791,GO:0002793,GO:0003007,GO:0003170,GO:0003171,GO:0003174,GO:0003179,GO:0003181,GO:0003183,GO:0003205,GO:0003206,GO:0003207,GO:0003208,GO:0003209,GO:0003211,GO:0003215,GO:0003230,GO:0003231,GO:0003279,GO:0003281,GO:0003283,GO:0003284,GO:0003289,GO:0003357,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0003712,GO:0003713,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005667,GO:0005737,GO:0005739,GO:0006139,GO:0006351,GO:0006355,GO:0006357,GO:0006366,GO:0006417,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006977,GO:0007049,GO:0007093,GO:0007154,GO:0007165,GO:0007166,GO:0007267,GO:0007275,GO:0007346,GO:0007399,GO:0007417,GO:0007507,GO:0008150,GO:0008152,GO:0008283,GO:0008284,GO:0008285,GO:0009058,GO:0009059,GO:0009628,GO:0009653,GO:0009743,GO:0009746,GO:0009749,GO:0009790,GO:0009792,GO:0009887,GO:0009888,GO:0009889,GO:0009891,GO:0009892,GO:0009893,GO:0009966,GO:0009967,GO:0009987,GO:0010001,GO:0010033,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010564,GO:0010604,GO:0010605,GO:0010608,GO:0010628,GO:0010646,GO:0010647,GO:0010817,GO:0010941,GO:0010942,GO:0010948,GO:0014009,GO:0016055,GO:0016070,GO:0016331,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0019725,GO:0019827,GO:0021510,GO:0021515,GO:0021517,GO:0021522,GO:0021782,GO:0021915,GO:0021953,GO:0022008,GO:0022402,GO:0023051,GO:0023052,GO:0023056,GO:0030097,GO:0030098,GO:0030111,GO:0030154,GO:0030177,GO:0030182,GO:0030217,GO:0030330,GO:0030855,GO:0031016,GO:0031018,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031328,GO:0031396,GO:0031397,GO:0031399,GO:0031400,GO:0031401,GO:0031570,GO:0031571,GO:0031647,GO:0031974,GO:0031981,GO:0032024,GO:0032268,GO:0032269,GO:0032270,GO:0032501,GO:0032502,GO:0032774,GO:0032879,GO:0032880,GO:0032991,GO:0033500,GO:0033554,GO:0034248,GO:0034250,GO:0034284,GO:0034641,GO:0034645,GO:0034654,GO:0035019,GO:0035107,GO:0035108,GO:0035148,GO:0035239,GO:0035270,GO:0035295,GO:0035556,GO:0035904,GO:0035905,GO:0035909,GO:0035910,GO:0036293,GO:0042063,GO:0042110,GO:0042127,GO:0042221,GO:0042592,GO:0042593,GO:0042769,GO:0042770,GO:0042981,GO:0043009,GO:0043065,GO:0043067,GO:0043068,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043565,GO:0044212,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0044773,GO:0044774,GO:0044783,GO:0044798,GO:0044819,GO:0045321,GO:0045727,GO:0045786,GO:0045787,GO:0045893,GO:0045930,GO:0045935,GO:0045944,GO:0046483,GO:0046649,GO:0046883,GO:0046887,GO:0046982,GO:0046983,GO:0048468,GO:0048483,GO:0048485,GO:0048513,GO:0048514,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048534,GO:0048583,GO:0048584,GO:0048598,GO:0048646,GO:0048699,GO:0048729,GO:0048731,GO:0048736,GO:0048844,GO:0048856,GO:0048869,GO:0048878,GO:0050708,GO:0050714,GO:0050789,GO:0050794,GO:0050796,GO:0050821,GO:0050896,GO:0051046,GO:0051047,GO:0051049,GO:0051050,GO:0051171,GO:0051172,GO:0051173,GO:0051222,GO:0051223,GO:0051246,GO:0051247,GO:0051248,GO:0051252,GO:0051254,GO:0051606,GO:0051716,GO:0051726,GO:0055082,GO:0060070,GO:0060173,GO:0060174,GO:0060255,GO:0060411,GO:0060412,GO:0060413,GO:0060429,GO:0060548,GO:0060562,GO:0060563,GO:0060828,GO:0060840,GO:0060993,GO:0065007,GO:0065008,GO:0070013,GO:0070201,GO:0070482,GO:0070887,GO:0071156,GO:0071158,GO:0071310,GO:0071322,GO:0071326,GO:0071331,GO:0071333,GO:0071704,GO:0072001,GO:0072175,GO:0072331,GO:0072358,GO:0072359,GO:0072395,GO:0072401,GO:0072413,GO:0072422,GO:0072431,GO:0080090,GO:0090068,GO:0090087,GO:0090263,GO:0090276,GO:0090277,GO:0090304,GO:0097159,GO:0097659,GO:0098727,GO:0140110,GO:0198738,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1901700,GO:1901701,GO:1901983,GO:1901985,GO:1901987,GO:1901988,GO:1901990,GO:1901991,GO:1902400,GO:1902402,GO:1902403,GO:1902680,GO:1902806,GO:1902807,GO:1903047,GO:1903317,GO:1903319,GO:1903320,GO:1903321,GO:1903506,GO:1903508,GO:1903530,GO:1903532,GO:1904951,GO:1905114,GO:1990837,GO:2000045,GO:2000112,GO:2000134,GO:2000756,GO:2000758,GO:2000759,GO:2000761,GO:2001141",-,ko:K09268,-,-,-,-,"ko00000,ko03000",-,-,-,HMG_box
Montipora_capitata_HIv3___RNAseq.g44004.t1,6087.XP_002166747.2,1.5999999999999998e-88,286,"COG5260@1|root,KOG2277@2759|Eukaryota,38HF3@33154|Opisthokonta,3BJC5@33208|Metazoa",33208|Metazoa,D,poly(A) RNA polymerase,PAPD4,"GO:0000003,GO:0000212,GO:0000226,GO:0000278,GO:0000280,GO:0000741,GO:0000956,GO:0001556,GO:0001654,GO:0001775,GO:0002244,GO:0002376,GO:0002520,GO:0002682,GO:0002697,GO:0002700,GO:0002759,GO:0002784,GO:0002805,GO:0002831,GO:0002920,GO:0003006,GO:0003008,GO:0003674,GO:0003824,GO:0004652,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005829,GO:0006139,GO:0006378,GO:0006396,GO:0006397,GO:0006401,GO:0006402,GO:0006403,GO:0006725,GO:0006807,GO:0006810,GO:0006996,GO:0006997,GO:0007010,GO:0007017,GO:0007049,GO:0007051,GO:0007052,GO:0007056,GO:0007097,GO:0007143,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0007338,GO:0007343,GO:0007344,GO:0007399,GO:0007417,GO:0007420,GO:0007423,GO:0007610,GO:0007611,GO:0007613,GO:0007616,GO:0008150,GO:0008152,GO:0008298,GO:0008334,GO:0009056,GO:0009057,GO:0009314,GO:0009416,GO:0009566,GO:0009628,GO:0009642,GO:0009646,GO:0009790,GO:0009792,GO:0009889,GO:0009892,GO:0009894,GO:0009895,GO:0009987,GO:0009994,GO:0010467,GO:0010468,GO:0010564,GO:0010605,GO:0010608,GO:0010629,GO:0010638,GO:0016043,GO:0016070,GO:0016071,GO:0016740,GO:0016772,GO:0016779,GO:0019219,GO:0019222,GO:0019439,GO:0019953,GO:0021537,GO:0021543,GO:0021700,GO:0021761,GO:0021766,GO:0022008,GO:0022402,GO:0022412,GO:0022414,GO:0022607,GO:0030097,GO:0030154,GO:0030182,GO:0030880,GO:0030900,GO:0031123,GO:0031124,GO:0031323,GO:0031324,GO:0031326,GO:0031329,GO:0031330,GO:0031379,GO:0031380,GO:0031974,GO:0031981,GO:0032101,GO:0032501,GO:0032502,GO:0032504,GO:0032991,GO:0033036,GO:0033043,GO:0034062,GO:0034248,GO:0034641,GO:0034655,GO:0035044,GO:0035046,GO:0035770,GO:0036464,GO:0040020,GO:0042995,GO:0043005,GO:0043010,GO:0043170,GO:0043186,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043487,GO:0043489,GO:0043631,GO:0043900,GO:0044085,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0044703,GO:0045495,GO:0045787,GO:0045836,GO:0045934,GO:0046483,GO:0046700,GO:0046907,GO:0048284,GO:0048285,GO:0048468,GO:0048469,GO:0048477,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048534,GO:0048583,GO:0048599,GO:0048609,GO:0048699,GO:0048731,GO:0048856,GO:0048869,GO:0050776,GO:0050789,GO:0050794,GO:0050877,GO:0050890,GO:0050896,GO:0051128,GO:0051130,GO:0051171,GO:0051172,GO:0051179,GO:0051225,GO:0051234,GO:0051252,GO:0051253,GO:0051302,GO:0051321,GO:0051445,GO:0051446,GO:0051640,GO:0051641,GO:0051647,GO:0051649,GO:0051656,GO:0051704,GO:0051716,GO:0051726,GO:0051783,GO:0051785,GO:0060041,GO:0060255,GO:0060293,GO:0060322,GO:0060631,GO:0060903,GO:0061695,GO:0065007,GO:0065008,GO:0070013,GO:0070566,GO:0070727,GO:0070925,GO:0071044,GO:0071214,GO:0071478,GO:0071482,GO:0071484,GO:0071485,GO:0071695,GO:0071704,GO:0071840,GO:0080090,GO:0090068,GO:0090304,GO:0090306,GO:0097458,GO:0097747,GO:0104004,GO:0120025,GO:0140013,GO:0140098,GO:1901360,GO:1901361,GO:1901575,GO:1902369,GO:1902494,GO:1902850,GO:1903046,GO:1903047,GO:1990234,GO:1990603,GO:1990904,GO:2000241,GO:2000243,GO:2000625,GO:2000626,GO:2000628,GO:2000629","2.7.7.19,2.7.7.52","ko:K13291,ko:K14079",-,-,-,-,"ko00000,ko01000,ko03019",-,-,-,"NTP_transf_2,PAP_assoc"
Montipora_capitata_HIv3___RNAseq.g15143.t1,45351.EDO43011,5.139999999999999e-231,645,"COG0513@1|root,KOG0340@2759|Eukaryota,38C0R@33154|Opisthokonta,3BE6I@33208|Metazoa",33208|Metazoa,A,helicase activity,DDX49,"GO:0003674,GO:0003724,GO:0003824,GO:0004004,GO:0004386,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005730,GO:0005737,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008026,GO:0008150,GO:0008152,GO:0008186,GO:0009987,GO:0010467,GO:0010501,GO:0016070,GO:0016072,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0022613,GO:0031974,GO:0031981,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0042623,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044085,GO:0044237,GO:0044238,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0046483,GO:0070013,GO:0070035,GO:0071704,GO:0071840,GO:0090304,GO:0140098,GO:1901360",3.6.4.13,ko:K14778,-,-,-,-,"ko00000,ko01000,ko03009",-,-,-,"DEAD,Helicase_C"
Montipora_capitata_HIv3___RNAseq.g19248.t1,45351.EDO49860,2.2499999999999999e-72,242,"COG4354@1|root,KOG1062@2759|Eukaryota,38DNR@33154|Opisthokonta,3BFC7@33208|Metazoa",33208|Metazoa,U,intracellular protein transport,AP4E1,"GO:0000139,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005794,GO:0005802,GO:0006605,GO:0006810,GO:0006886,GO:0008104,GO:0008150,GO:0012505,GO:0015031,GO:0015833,GO:0016020,GO:0016192,GO:0030117,GO:0030119,GO:0030124,GO:0031090,GO:0031410,GO:0031904,GO:0031974,GO:0031982,GO:0031984,GO:0032588,GO:0032991,GO:0033036,GO:0034613,GO:0042886,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044422,GO:0044424,GO:0044425,GO:0044431,GO:0044433,GO:0044440,GO:0044444,GO:0044446,GO:0044464,GO:0045184,GO:0046907,GO:0048475,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0070013,GO:0070727,GO:0071702,GO:0071705,GO:0097708,GO:0098588,GO:0098791,GO:0098796",-,ko:K12400,"ko04142,map04142",-,-,-,"ko00000,ko00001,ko04131",-,-,-,"AP4E_app_platf,Adaptin_N"
Montipora_capitata_HIv3___RNAseq.g19868.t1,45351.EDO46589,9.589999999999998e-252,716,"COG0733@1|root,KOG3659@2759|Eukaryota,38ERG@33154|Opisthokonta,3B954@33208|Metazoa",33208|Metazoa,T,neurotransmitter:sodium symporter activity,-,"GO:0003674,GO:0005215,GO:0005326,GO:0005328,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006814,GO:0006836,GO:0008150,GO:0008324,GO:0015075,GO:0015077,GO:0015081,GO:0015291,GO:0015293,GO:0015294,GO:0015318,GO:0015370,GO:0015672,GO:0016020,GO:0016021,GO:0022804,GO:0022857,GO:0022890,GO:0030001,GO:0031224,GO:0031226,GO:0034220,GO:0035725,GO:0044425,GO:0044459,GO:0044464,GO:0046873,GO:0051179,GO:0051234,GO:0055085,GO:0071944,GO:0098655,GO:0098660,GO:0098662",-,ko:K05048,-,-,-,-,"ko00000,ko02000",2.A.22.6,-,-,SNF
